id,label
ERR478958,0.0
ERR478962,0.0
ERR478964,0.0
ERR478968,1.0
ERR478970,0.0
ERR478974,0.0
ERR478976,0.0
ERR478980,0.0
ERR478984,1.0
ERR478986,0.0
ERR478990,0.0
ERR478994,0.0
ERR478998,0.0
ERR479000,0.0
ERR479004,0.0
ERR479006,0.0
ERR479010,1.0
ERR479014,0.0
ERR479018,0.0
ERR479022,0.0
ERR479024,1.0
ERR479029,1.0
ERR479033,0.0
ERR479037,1.0
ERR479039,1.0
ERR479041,0.0
ERR479043,0.0
ERR479045,0.0
ERR479049,0.0
ERR479053,1.0
ERR479059,0.0
ERR479063,0.0
ERR479065,1.0
ERR479071,1.0
ERR479075,0.0
ERR479077,1.0
ERR479079,0.0
ERR479083,1.0
ERR479085,0.0
ERR479088,0.0
ERR479091,0.0
ERR479093,0.0
ERR479099,0.0
ERR479101,0.0
ERR479103,0.0
ERR479105,0.0
ERR479107,0.0
ERR479111,1.0
ERR479115,1.0
ERR479118,0.0
ERR479122,0.0
ERR479124,1.0
ERR479128,0.0
ERR479132,0.0
ERR479136,0.0
ERR479138,1.0
ERR479140,1.0
ERR479142,1.0
ERR479146,1.0
ERR479148,1.0
ERR479150,0.0
ERR479154,0.0
ERR479157,0.0
ERR479161,0.0
ERR479162,0.0
ERR479165,1.0
ERR479167,0.0
ERR479169,0.0
ERR479173,1.0
ERR479175,1.0
ERR479177,1.0
ERR479183,0.0
ERR479187,0.0
ERR479190,0.0
ERR479193,1.0
ERR479195,0.0
ERR479199,1.0
ERR479201,0.0
ERR479203,0.0
ERR479209,0.0
ERR479213,0.0
ERR479219,1.0
ERR479223,1.0
ERR479225,1.0
ERR479227,0.0
ERR479231,0.0
ERR479235,1.0
ERR479238,0.0
ERR479243,1.0
ERR479245,1.0
ERR479249,0.0
ERR479251,1.0
ERR479254,1.0
ERR479255,1.0
ERR479259,0.0
ERR479263,0.0
ERR479267,0.0
ERR479270,0.0
ERR479274,0.0
ERR479276,1.0
ERR479280,0.0
ERR479284,1.0
ERR479286,0.0
ERR479290,1.0
ERR479294,0.0
ERR479298,0.0
ERR479299,0.0
ERR479302,1.0
ERR479308,1.0
ERR479312,0.0
ERR479316,1.0
ERR479319,0.0
ERR479321,0.0
ERR479325,0.0
ERR479327,0.0
ERR479331,1.0
ERR479335,1.0
ERR479339,0.0
ERR479341,0.0
ERR479343,0.0
ERR479348,1.0
ERR479351,1.0
ERR479353,1.0
ERR479355,1.0
ERR479357,1.0
ERR479359,1.0
ERR479366,1.0
ERR479370,0.0
ERR479374,0.0
ERR479378,0.0
ERR479389,1.0
ERR479391,0.0
ERR479393,0.0
ERR479395,0.0
ERR479397,0.0
ERR479401,0.0
ERR479405,0.0
ERR479409,0.0
ERR479413,0.0
ERR479415,1.0
ERR479417,1.0
